created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-10-17T14:03:15Z,1582009345910640600,1582009345910640640,RT @sctyner: Do you have any questions about being a data scientist? About switching from academia to data science in industry? About mista…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,14,0,FALSE,FALSE,NA,en,1580198880016502800,1580198880016502784,,,RT @sctyner: Do you have any questions about being a data scientist? About switching from academia to data science in industry? About mista…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17T14:02:46Z,1582009225634455600,1582009225634455557,RT @RLadiesSTL: Join us tonight to learn how to use the {gtsummary} package to make publication-ready analytical and summary tables! 6pm CS…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,6,0,FALSE,FALSE,NA,en,1566232832816697300,1566232832816697350,,,RT @RLadiesSTL: Join us tonight to learn how to use the {gtsummary} package to make publication-ready analytical and summary tables! 6pm CS…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17T14:02:32Z,1582009166579007500,1582009166579007488,RT @WeAreRLadies: This week #RLadies curator is @reikookamoto1 https://t.co/lANXdldwe8,FALSE,86,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,8,0,FALSE,FALSE,FALSE,en,NA,NA,,,RT @WeAreRLadies: This week #RLadies curator is @reikookamoto1 https://t.co/lANXdldwe8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17T14:02:08Z,1582009065303335e3,1582009065303334912,"RT @WeAreRLadies: (1/n) Hello 👋 My name is Reiko (@reikookamoto1) and I'll be this week's curator. Over the next few days, I'm hoping to di…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,11,0,TRUE,FALSE,NA,en,NA,NA,,,"RT @WeAreRLadies: (1/n) Hello 👋 My name is Reiko (@reikookamoto1) and I'll be this week's curator. Over the next few days, I'm hoping to di…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17T14:01:21Z,1582008869097590800,1582008869097590790,RT @RLadiesParis: What an amazing {#ggplot2} session we had! Happy to share with you the materials from our last workshop animated by @tany…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,7,0,FALSE,FALSE,NA,en,NA,NA,,,RT @RLadiesParis: What an amazing {#ggplot2} session we had! Happy to share with you the materials from our last workshop animated by @tany…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-17T14:01:12Z,1582008832808857600,1582008832808857600,"RT @BeaMilz: Para quem quer participar da organização da @LatinR_Conf em 2023: https://t.co/kpcGfo2Cw2

@RLadiesGlobal #rstats @rladiesgyn…",FALSE,139,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,9,0,FALSE,FALSE,FALSE,pt,NA,NA,,,"RT @BeaMilz: Para quem quer participar da organização da @LatinR_Conf em 2023: https://t.co/kpcGfo2Cw2

@RLadiesGlobal #rstats @rladiesgyn…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:51:23Z,1579348848845410300,1579348848845410304,"RT @ivelasq3: Learning Quarto doesn't have to be spooky. 🎃

Join me Oct 27th @RLadiesSTL for an Intro to Quarto! Create beautiful #QuartoPu…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,71,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @ivelasq3: Learning Quarto doesn't have to be spooky. 🎃

Join me Oct 27th @RLadiesSTL for an Intro to Quarto! Create beautiful #QuartoPu…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:50:14Z,1579348562760323e3,1579348562760323072,"RT @tanya_shapiro: When I explain or teach something technical, I always try to find some kind of analogy to break it down. 

Used this one…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,201,0,FALSE,FALSE,NA,en,NA,NA,,,"RT @tanya_shapiro: When I explain or teach something technical, I always try to find some kind of analogy to break it down. 

Used this one…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:49:31Z,1579348382719828e3,1579348382719827969,RT @RLadiesPhilly: We are so excited to host @meghansharris for this online event! #rladies,FALSE,91,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,3,0,FALSE,FALSE,NA,en,1577765563316768800,1577765563316768789,,,RT @RLadiesPhilly: We are so excited to host @meghansharris for this online event! #rladies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:49:19Z,1579348328407781400,1579348328407781376,"RT @yabellini: Que tul? 
Miren quien viene a enseñarnos sobre Apache Arrow a #LatinR2022 ?

Emocionades? Yo si, mucho !

Registrate de form…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,3,0,FALSE,FALSE,NA,es,1578027977865982e3,1578027977865981954,,,"RT @yabellini: Que tul? 
Miren quien viene a enseñarnos sobre Apache Arrow a #LatinR2022 ?

Emocionades? Yo si, mucho !

Registrate de form…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
